cluster,n,N,cx,depth
0,16,136,10,8
1,16,132,9,14
2,16,112,27,30
3,16,112,7,6
4,16,62,20,24
5,16,43,20,21
6,16,46,30,37
7,16,44,44,37
8,16,58,38,24
9,16,38,38,33
10,16,42,45,41
11,16,35,38,29
12,16,36,49,32
13,16,33,49,35
14,16,52,36,29
15,16,30,33,32
16,16,51,16,14
17,16,34,50,40
18,16,28,40,39
19,16,48,16,16
20,16,34,46,39
21,16,42,22,24
22,16,31,46,33
23,16,28,46,38
24,16,28,30,30
25,16,31,52,36
26,16,37,20,28
27,16,30,44,32
28,16,50,20,21
29,16,27,47,38
30,16,31,19,15
31,16,24,21,16
32,16,28,49,51
33,16,25,29,25
34,16,19,57,42
35,16,31,44,36
36,16,22,39,33
37,16,24,34,28
38,16,35,27,23
39,16,20,32,31
40,16,21,25,24
41,16,21,14,16
42,16,34,18,19
43,16,24,20,24
44,16,22,41,44
45,16,22,41,38
46,16,22,37,28
47,16,19,30,26
48,16,24,37,28
49,16,21,36,30
50,16,15,39,34
51,16,17,23,24
52,16,20,34,25
53,16,19,42,27
54,16,17,21,26
55,16,18,40,36
56,16,14,38,40
57,16,13,26,26
58,16,15,30,23
59,16,12,20,22
60,16,10,36,36
61,16,11,34,28
62,16,11,40,36
63,16,9,27,28
64,16,12,33,26
65,16,12,20,28
66,16,11,6,10
67,16,9,26,22
68,16,8,18,26
69,16,7,14,17
70,16,8,31,28
71,16,6,11,13
72,16,6,10,14
73,16,5,9,12
74,16,4,7,13
75,16,3,1,5
76,16,2,2,4
77,16,2,1,4
78,16,1,0,2